label,location,date,value,group
Gucci,13,2017,2,Gucci (+2)
Gucci,13,2020,4,Gucci (+2)
Gucci,94,2006,1,Gucci (+2)
Gucci,69,2014,1,Gucci (+2)
Gucci,18,2018,1,Gucci (+2)
Gucci,18,2020,2,Gucci (+2)
Gucci,13,2014,5,Gucci (+2)
Gucci,13,2015,3,Gucci (+2)
Gucci,93,2017,4,Gucci (+2)
Gucci,94,2020,3,Gucci (+2)
Gucci,94,2012,1,Gucci (+2)
Gucci,78,2020,1,Gucci (+2)
Gucci,91,2018,9,Gucci (+2)
Gucci,92,2015,1,Gucci (+2)
Gucci,78,2005,1,Gucci (+2)
Gucci,78,2009,1,Gucci (+2)
Gucci,94,2013,3,Gucci (+2)
Gucci,76,2007,1,Gucci (+2)
Gucci,76,2011,1,Gucci (+2)
Gucci,76,2009,1,Gucci (+2)
Gucci,31,2018,4,Gucci (+2)
Gucci,75,2006,3,Gucci (+2)
Gucci,93,2000,1,Gucci (+2)
Gucci,78,2006,1,Gucci (+2)
Gucci,78,2008,2,Gucci (+2)
Gucci,93,2015,1,Gucci (+2)
Gucci,74,2019,1,Gucci (+2)
Gucci,91,2016,6,Gucci (+2)
Gucci,94,1997,1,Gucci (+2)
Gucci,67,2019,1,Gucci (+2)
Gucci,38,2017,1,Gucci (+2)
Gucci,78,2014,1,Gucci (+2)
Gucci,91,2015,5,Gucci (+2)
Gucci,92,2019,1,Gucci (+2)
Gucci,92,2012,1,Gucci (+2)
Gucci,94,2010,2,Gucci (+2)
Gucci,77,2015,1,Gucci (+2)
Gucci,41,2019,2,Gucci (+2)
Gucci,41,2015,1,Gucci (+2)
Gucci,95,2014,2,Gucci (+2)
Gucci,59,2013,1,Gucci (+2)
Gucci,75,2007,1,Gucci (+2)
Gucci,91,2010,1,Gucci (+2)
Gucci,95,2018,1,Gucci (+2)
Gucci,95,2015,2,Gucci (+2)
Gucci,61,2011,1,Gucci (+2)
Gucci,75,2005,1,Gucci (+2)
Gucci,78,2013,1,Gucci (+2)
Gucci,45,2014,1,Gucci (+2)
Gucci,31,2019,2,Gucci (+2)
Gucci,31,2017,3,Gucci (+2)
Gucci,94,2018,1,Gucci (+2)
Gucci,59,2017,1,Gucci (+2)
Gucci,69,2019,3,Gucci (+2)
Gucci,92,2009,1,Gucci (+2)
Gucci,92,2018,1,Gucci (+2)
Gucci,78,2018,1,Gucci (+2)
Gucci,93,2014,1,Gucci (+2)
Gucci,25,2018,1,Gucci (+2)
Gucci,76,2014,1,Gucci (+2)
Gucci,38,2015,1,Gucci (+2)
Gucci,38,2018,3,Gucci (+2)
Gucci,44,2011,1,Gucci (+2)
Gucci,59,2018,4,Gucci (+2)
Gucci,33,2010,1,Gucci (+2)
Gucci,30,2020,3,Gucci (+2)
Gucci,77,2011,1,Gucci (+2)
Prada,75,2014,3,Gucci (+2)
Prada,75,2018,2,Gucci (+2)
Prada,13,2006,1,Gucci (+2)
Prada,91,2014,1,Gucci (+2)
Prada,25,2015,2,Gucci (+2)
Prada,13,2010,1,Gucci (+2)
Prada,69,2019,2,Gucci (+2)
Prada,34,2009,1,Gucci (+2)
Prada,75,2012,1,Gucci (+2)
Prada,93,2016,1,Gucci (+2)
Prada,31,2020,1,Gucci (+2)
Prada,93,2012,1,Gucci (+2)
Prada,13,2018,2,Gucci (+2)
Prada,92,2004,1,Gucci (+2)
Prada,25,2020,1,Gucci (+2)
Prada,25,2019,3,Gucci (+2)
Prada,75,2016,2,Gucci (+2)
Prada,44,2018,1,Gucci (+2)
Prada,44,2017,1,Gucci (+2)
Prada,93,2015,2,Gucci (+2)
Prada,75,2017,1,Gucci (+2)
Prada,54,2017,1,Gucci (+2)
Prada,13,2020,1,Gucci (+2)
Prada,75,2020,1,Gucci (+2)
Prada,69,2014,2,Gucci (+2)
Prada,18,2020,1,Gucci (+2)
Prada,75,2015,3,Gucci (+2)
Prada,69,2016,1,Gucci (+2)
Prada,13,2013,2,Gucci (+2)
Prada,94,2015,1,Gucci (+2)
Prada,92,2017,1,Gucci (+2)
Prada,92,2015,1,Gucci (+2)
Prada,92,2018,1,Gucci (+2)
Prada,13,2009,2,Gucci (+2)
Prada,76,2011,1,Gucci (+2)
Prada,93,2017,1,Gucci (+2)
Prada,93,2018,2,Gucci (+2)
Prada,93,2020,1,Gucci (+2)
Prada,78,2006,1,Gucci (+2)
Prada,91,2018,1,Gucci (+2)
Prada,91,2016,1,Gucci (+2)
Prada,94,2003,1,Gucci (+2)
Prada,75,2013,4,Gucci (+2)
Prada,75,2006,1,Gucci (+2)
Prada,13,2016,2,Gucci (+2)
Prada,95,2016,1,Gucci (+2)
Prada,95,2014,1,Gucci (+2)
Prada,75,2019,2,Gucci (+2)
Prada,75,2008,1,Gucci (+2)
Prada,13,2015,1,Gucci (+2)
Prada,13,2014,1,Gucci (+2)
Prada,92,2008,1,Gucci (+2)
Prada,75,2009,1,Gucci (+2)
Prada,34,2014,1,Gucci (+2)
Prada,34,2012,1,Gucci (+2)
Prada,95,2008,1,Gucci (+2)
Prada,94,2019,1,Gucci (+2)
Prada,76,2012,1,Gucci (+2)
Prada,91,2015,1,Gucci (+2)
Prada,94,2007,1,Gucci (+2)
Prada,38,2015,1,Gucci (+2)
Prada,59,2018,1,Gucci (+2)
Prada,33,2015,1,Gucci (+2)
Prada,30,2020,1,Gucci (+2)
Fendi,93,2019,3,Gucci (+2)
Fendi,75,2016,3,Gucci (+2)
Fendi,91,2019,5,Gucci (+2)
Fendi,74,2016,1,Gucci (+2)
Fendi,92,2010,1,Gucci (+2)
Fendi,25,2015,1,Gucci (+2)
Fendi,25,2019,1,Gucci (+2)
Fendi,78,2018,1,Gucci (+2)
Fendi,44,2020,1,Gucci (+2)
Fendi,93,2020,4,Gucci (+2)
Fendi,92,2017,1,Gucci (+2)
Fendi,75,2017,5,Gucci (+2)
Fendi,13,2019,3,Gucci (+2)
Fendi,91,2014,1,Gucci (+2)
Fendi,91,2020,5,Gucci (+2)
Fendi,93,2015,1,Gucci (+2)
Fendi,94,2019,1,Gucci (+2)
Fendi,44,2018,1,Gucci (+2)
Fendi,6,2015,1,Gucci (+2)
Fendi,13,2020,1,Gucci (+2)
Fendi,94,2020,1,Gucci (+2)
Fendi,75,2020,7,Gucci (+2)
Fendi,78,2020,1,Gucci (+2)
Fendi,78,2011,2,Gucci (+2)
Fendi,76,2011,1,Gucci (+2)
Fendi,95,2018,1,Gucci (+2)
Fendi,69,2018,1,Gucci (+2)
